ngay;buoi;noiDung;diaDiem;thamGia;ghiChu
;;14g00: Dự họp Ban Thường vụ Đảng ủy;PH.Đảng ủy/P;"- Đ/c Nguyễn Thu Hiền
- Các đ/c Uỷ viên Ban Thường vụ đảng bộ phường. ";
;;14g00: Nghe báo cáo về tình hình vận chuyển và xử lý chất thải rắn sau khi sáp nhập. ;Hội trường - 98 Lê Văn Duyệt;"Đ/c Vũ Minh Giang
P.KTHTĐT";Thảo + Hạnh
;;"14g30: Tổ chức sơ kết 6 tháng đầu năm 2025, phương hướng, nhiệm vụ 6 tháng cuối năm 2025; Truyền thông hưởng ứng Ngày Dân số Thế giới 11/7";Hội trường tầng trệt trụ sở Đảng ủy phường (134 Lê Văn Duyệt);"Đ/c Đỗ Hữu Hùng - Phó phòng chủ trì
Thành phần (Theo thư mời)";Bộ phận Dân số chuẩn bị
;;;;;
Thứ 6 (18/7);Sáng;07g30: Dự Mô hình “Gia Định xanh - Khu phố sạch. Hàng Việt thân thiện môi trường”;Hẻm 195 XVNT, Khu phố 62;Đ/c Nguyễn Thu Hiền ;
;;08g30: Dự thẩm định tại chỗ đối với nhà 185/9F Lê Quang Định P.7 ;185/9F Lê Quang Định P.7 ;Đại diện P.KTHTĐT;
;;09g00: Dự làm việc với BBTGPMB về hồ sơ Rạch Xuyên tâm;Hội trường - 98 Lê Văn Duyệt ;"Đ/c Hiền; Giang; Khánh; Quang; Phước; tổ tài nguyên";
;Chiều;;;;
;;;;;
Thứ 7 (19/7);Sáng;07g30: Trực tại Trung tâm phục vụ Hành chính công  ; 98 Lê Văn Duyệt;Đ/c Nguyễn Thu Hiền ;
;;09g30: Dự kỷ niệm đánh dầu sự hiện diện 150 năm của nhà Dòng thánh Phaolo;153 Xô Viết Nghệ Tĩnh;Đ/c Nguyễn Huy Nghị ;
;;;;;
;Chiều;;;;
;;;;;
Chủ Nhật (20/7);Sáng;;;;
;;;;;
;Chiều;;;;
